Country Name,Country Code,GDP Type,Year,GDP Value
"Guinea","GIN","GDP at market prices (current US$)",2005,2937071767.2557559
"Gambia, The","GMB","GDP at market prices (current US$)",2005,624174723.71340382
"Guinea-Bissau","GNB","GDP at market prices (current US$)",2005,586791836.05954123
"Equatorial Guinea","GNQ","GDP at market prices (current US$)",2005,8217369092.6522379
"Greece","GRC","GDP at market prices (current US$)",2005,247783001865.43961
"Grenada","GRD","GDP at market prices (current US$)",2005,695370296.29629624
"Greenland","GRL","GDP at market prices (current US$)",2005,1650283229.1963696
"Guatemala","GTM","GDP at market prices (current US$)",2005,27211376360.706848
"Guyana","GUY","GDP at market prices (current US$)",2005,824880550.34396493
"High income","HIC","GDP at market prices (current US$)",2005,38459608563889.695
"Hong Kong SAR, China","HKG","GDP at market prices (current US$)",2005,181570082162.18994
"Honduras","HND","GDP at market prices (current US$)",2005,9672035709.39793
"Heavily indebted poor countries (HIPC)","HPC","GDP at market prices (current US$)",2005,242158942640.2861
"Croatia","HRV","GDP at market prices (current US$)",2005,45416076680.870659
"Haiti","HTI","GDP at market prices (current US$)",2005,4310358095.6289759
"Hungary","HUN","GDP at market prices (current US$)",2005,112530908271.01575
"Indonesia","IDN","GDP at market prices (current US$)",2005,285868619205.80548
"Isle of Man","IMN","GDP at market prices (current US$)",2005,2971167185.3551087
"India","IND","GDP at market prices (current US$)",2005,834214699568.13989
"Ireland","IRL","GDP at market prices (current US$)",2005,211388699291.13293
"Iran, Islamic Rep.","IRN","GDP at market prices (current US$)",2005,219845971945.26184
"Iraq","IRQ","GDP at market prices (current US$)",2005,49954890353.260872
"Iceland","ISL","GDP at market prices (current US$)",2005,16749309720.125053
"Israel","ISR","GDP at market prices (current US$)",2005,142837533703.23328
"Italy","ITA","GDP at market prices (current US$)",2005,1853512452182.5642
"Jamaica","JAM","GDP at market prices (current US$)",2005,11204416000
"Jordan","JOR","GDP at market prices (current US$)",2005,12588665303.244007
"Japan","JPN","GDP at market prices (current US$)",2005,4571867441130.4121
"Kazakhstan","KAZ","GDP at market prices (current US$)",2005,57123671733.895248
"Kenya","KEN","GDP at market prices (current US$)",2005,18737895401.13493
"Kyrgyz Republic","KGZ","GDP at market prices (current US$)",2005,2460246796.05234
"Cambodia","KHM","GDP at market prices (current US$)",2005,6293046162.1258392
"Kiribati","KIR","GDP at market prices (current US$)",2005,106149546.3981691
"St. Kitts and Nevis","KNA","GDP at market prices (current US$)",2005,543169966.66666663
"Korea, Rep.","KOR","GDP at market prices (current US$)",2005,898137194716.18811
"Kosovo","KSV","GDP at market prices (current US$)",2005,3736599925.3824148
"Kuwait","KWT","GDP at market prices (current US$)",2005,80797945205.479462
"Latin America & Caribbean (developing only)","LAC","GDP at market prices (current US$)",2005,2233468674055.7256
"Lao PDR","LAO","GDP at market prices (current US$)",2005,2735558734.8140879
"Lebanon","LBN","GDP at market prices (current US$)",2005,21287562189.054722
"Liberia","LBR","GDP at market prices (current US$)",2005,550000000
"Libya","LBY","GDP at market prices (current US$)",2005,47334148578.416389
"St. Lucia","LCA","GDP at market prices (current US$)",2005,946681289
"Latin America & Caribbean (all income levels)","LCN","GDP at market prices (current US$)",2005,2867409575250.6465
"Least developed countries: UN classification","LDC","GDP at market prices (current US$)",2005,333376489594.91388
"Low income","LIC","GDP at market prices (current US$)",2005,153945536221.24667
"Liechtenstein","LIE","GDP at market prices (current US$)",2005,3659320086.6829605
"Sri Lanka","LKA","GDP at market prices (current US$)",2005,24406252456.514107
"Lower middle income","LMC","GDP at market prices (current US$)",2005,2134587827603.2168
"Low & middle income","LMY","GDP at market prices (current US$)",2005,8645565323514.1709
"Lesotho","LSO","GDP at market prices (current US$)",2005,1368352570.2514424
"Lithuania","LTU","GDP at market prices (current US$)",2005,26125575942.28138
"Luxembourg","LUX","GDP at market prices (current US$)",2005,36977365999.253822
"Latvia","LVA","GDP at market prices (current US$)",2005,16903250777.84692
"Macao SAR, China","MAC","GDP at market prices (current US$)",2005,11792517881.4395
"Morocco","MAR","GDP at market prices (current US$)",2005,59523857868.0203
"Monaco","MCO","GDP at market prices (current US$)",2005,4280072625.9762225
"Moldova","MDA","GDP at market prices (current US$)",2005,2988338439.3155336
"Madagascar","MDG","GDP at market prices (current US$)",2005,5039293030.8236685
"Maldives","MDV","GDP at market prices (current US$)",2005,1119806501.9863203
"Middle East & North Africa (all income levels)","MEA","GDP at market prices (current US$)",2005,1517131605863.6514
"Mexico","MEX","GDP at market prices (current US$)",2005,866346483685.29736
"Marshall Islands","MHL","GDP at market prices (current US$)",2005,137744500
"Middle income","MIC","GDP at market prices (current US$)",2005,8492290914516.0244
"Macedonia, FYR","MKD","GDP at market prices (current US$)",2005,6258600713.8262749
"Mali","MLI","GDP at market prices (current US$)",2005,5486319313.1000919
"Malta","MLT","GDP at market prices (current US$)",2005,5990648161.9658766
"Middle East & North Africa (developing only)","MNA","GDP at market prices (current US$)",2005,686847705704.44226
"Montenegro","MNE","GDP at market prices (current US$)",2005,2257118340.5461874
"Mongolia","MNG","GDP at market prices (current US$)",2005,2523471601.7951417
"Mozambique","MOZ","GDP at market prices (current US$)",2005,7723846194.8744631
"Mauritania","MRT","GDP at market prices (current US$)",2005,2184444848.9763732
"Mauritius","MUS","GDP at market prices (current US$)",2005,6283796154.76327
"Malawi","MWI","GDP at market prices (current US$)",2005,2754995876.5249519
"Malaysia","MYS","GDP at market prices (current US$)",2005,143534102611.49692
"North America","NAC","GDP at market prices (current US$)",2005,14262738384225.779
"Namibia","NAM","GDP at market prices (current US$)",2005,7261333794.6000347
"Niger","NER","GDP at market prices (current US$)",2005,3405134831.8504944
"Nigeria","NGA","GDP at market prices (current US$)",2005,112248324605.52707
"Nicaragua","NIC","GDP at market prices (current US$)",2005,6321335612.2223349
"Netherlands","NLD","GDP at market prices (current US$)",2005,678533764457.157
"High income: nonOECD","NOC","GDP at market prices (current US$)",2005,2833259663184.1826
"Norway","NOR","GDP at market prices (current US$)",2005,308722079937.91229
"Nepal","NPL","GDP at market prices (current US$)",2005,8130258976.02982
"New Zealand","NZL","GDP at market prices (current US$)",2005,115061331901.71091
"High income: OECD","OEC","GDP at market prices (current US$)",2005,35628897587908.188
"OECD members","OED","GDP at market prices (current US$)",2005,36978223910682.5
"Oman","OMN","GDP at market prices (current US$)",2005,31081924577.373211
"Other small states","OSS","GDP at market prices (current US$)",2005,54109001816.538315
"Pakistan","PAK","GDP at market prices (current US$)",2005,109502102510.88319
"Panama","PAN","GDP at market prices (current US$)",2005,15464700000
"Peru","PER","GDP at market prices (current US$)",2005,74947898079.898087
"Philippines","PHL","GDP at market prices (current US$)",2005,103071585462.59904
"Palau","PLW","GDP at market prices (current US$)",2005,193525912.199905
"Papua New Guinea","PNG","GDP at market prices (current US$)",2005,4865971718.2973194
"Poland","POL","GDP at market prices (current US$)",2005,304410137536.70221
"Puerto Rico","PRI","GDP at market prices (current US$)",2005,83914521340.5431
"Portugal","PRT","GDP at market prices (current US$)",2005,197304513120.25867
"Paraguay","PRY","GDP at market prices (current US$)",2005,8734653809.4956055
"Pacific island small states","PSS","GDP at market prices (current US$)",2005,5249011730.9039459
"Qatar","QAT","GDP at market prices (current US$)",2005,44530494505.494507
"Romania","ROU","GDP at market prices (current US$)",2005,99697566667.810684
"Russian Federation","RUS","GDP at market prices (current US$)",2005,764017107992.3916
"Rwanda","RWA","GDP at market prices (current US$)",2005,2581465675.2050643
"South Asia","SAS","GDP at market prices (current US$)",2005,1053910008264.5807
"Saudi Arabia","SAU","GDP at market prices (current US$)",2005,328459608764.1109
"Sudan","SDN","GDP at market prices (current US$)",2005,26524538565.740322
"Senegal","SEN","GDP at market prices (current US$)",2005,8707015771.0011272
"Singapore","SGP","GDP at market prices (current US$)",2005,127417688055.7558
"Solomon Islands","SLB","GDP at market prices (current US$)",2005,413911362.34592175
"Sierra Leone","SLE","GDP at market prices (current US$)",2005,1627854494.8024588
"El Salvador","SLV","GDP at market prices (current US$)",2005,17093800000
"San Marino","SMR","GDP at market prices (current US$)",2005,1375416604.4868927
"Serbia","SRB","GDP at market prices (current US$)",2005,26252007830.46386
"Sub-Saharan Africa (developing only)","SSA","GDP at market prices (current US$)",2005,674655590235.49878
"Sub-Saharan Africa (all income levels)","SSF","GDP at market prices (current US$)",2005,683807337957.2168
"Small states","SST","GDP at market prices (current US$)",2005,105984990774.20432
"Sao Tome and Principe","STP","GDP at market prices (current US$)",2005,126194166.22926089
"Suriname","SUR","GDP at market prices (current US$)",2005,1793776693.10555
"Slovak Republic","SVK","GDP at market prices (current US$)",2005,62493023255.81395
"Slovenia","SVN","GDP at market prices (current US$)",2005,36346971769.680389
"Sweden","SWE","GDP at market prices (current US$)",2005,389042298376.845
